"OCL10","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"1","Package","0.028169014084507043","7","6","0.2380952380952381","8","0.4166666666666667","8","0.1754385964912281","8","0.645","4","3","0.2380952380952381","5","0.4166666666666667","5","0.1754385964912281","5","0.29","4","3","0.2380952380952381","5","0.4166666666666667","5","0.1754385964912281","5","0.5385164807134504","4","3","0.2380952380952381","5","0.4166666666666667","5","0.1754385964912281","5"
"0","NamedElement","0.028169014084507043","7","6","0.2857142857142857","7","1.0","7","0.2857142857142857","7","0.645","4","3","0.2857142857142857","4","1.0","4","0.2857142857142857","4","0.29","4","3","0.2857142857142857","4","1.0","4","0.2857142857142857","4","0.5385164807134504","4","3","0.2857142857142857","4","1.0","4","0.2857142857142857","4"
"0","Property","0.125","2","2","0.2857142857142857","3","1.0","2","0.2857142857142857","3","0.7241379310344828","2","2","0.2857142857142857","3","1.0","2","0.2857142857142857","3","0.4482758620689655","2","2","0.2857142857142857","3","1.0","2","0.2857142857142857","3","0.6695340634119862","2","2","0.2857142857142857","3","1.0","2","0.2857142857142857","3"
"0","StrongReferences","0.08","5","4","0.25","5","0.7","5","0.21875","5","0.5689655172413793","7","6","0.25","7","0.7","7","0.21875","7","0.13793103448275862","7","6","0.25","7","0.7","7","0.21875","7","0.3713906763541037","7","6","0.25","7","0.7","7","0.21875","7"
" ","EXAM-BC"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.25"
" ","EXAM-WC"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.25"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.25"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.25"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.25"
" ","EXAM-AVG"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.25"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.25"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.25"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.25"
"OCL9","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","5","0.38461538461538464","6","1.0","6","0.38461538461538464","6","0.5517241379310345","8","7","0.38461538461538464","8","1.0","8","0.38461538461538464","8","0.10344827586206896","8","7","0.38461538461538464","8","1.0","8","0.38461538461538464","8","0.3216337604513384","8","7","0.38461538461538464","8","1.0","8","0.38461538461538464","8"
"0","References","0.08695652173913043","4","3","0.38461538461538464","4","0.8333333333333334","4","0.3333333333333333","4","0.603448275862069","6","5","0.38461538461538464","6","0.8333333333333334","6","0.3333333333333333","6","0.20689655172413793","6","5","0.38461538461538464","6","0.8333333333333334","6","0.3333333333333333","6","0.454858826147342","6","5","0.38461538461538464","6","0.8333333333333334","6","0.3333333333333333","6"
"1","Attributes","0.125","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3","0.7241379310344828","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3","0.4482758620689655","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3","0.6695340634119862","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3"
"0","Class","1.0","1","1","0.3076923076923077","1","0.6666666666666666","1","0.26666666666666666","1","1.0","1","1","0.3076923076923077","1","0.6666666666666666","1","0.26666666666666666","1","1.0","1","1","0.3076923076923077","1","0.6666666666666666","1","0.26666666666666666","1","1.0","1","1","0.3076923076923077","1","0.6666666666666666","1","0.26666666666666666","1"
"1","Package","0.028169014084507043","7","6","0.1794871794871795","8","0.2916666666666667","8","0.12280701754385966","8","0.645","4","3","0.1794871794871795","5","0.2916666666666667","5","0.12280701754385966","5","0.29","4","3","0.1794871794871795","5","0.2916666666666667","5","0.12280701754385966","5","0.5385164807134504","4","3","0.1794871794871795","5","0.2916666666666667","5","0.12280701754385966","5"
"0","NamedElement","0.028169014084507043","7","6","0.3076923076923077","7","1.0","7","0.3076923076923077","7","0.645","4","3","0.3076923076923077","4","1.0","4","0.3076923076923077","4","0.29","4","3","0.3076923076923077","4","1.0","4","0.3076923076923077","4","0.5385164807134504","4","3","0.3076923076923077","4","1.0","4","0.3076923076923077","4"
"0","Property","0.125","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2","0.7241379310344828","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2","0.4482758620689655","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2","0.6695340634119862","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2"
"0","StrongReferences","0.08","5","4","0.38461538461538464","5","1.0","5","0.35714285714285715","5","0.5689655172413793","7","6","0.38461538461538464","7","1.0","7","0.35714285714285715","7","0.13793103448275862","7","6","0.38461538461538464","7","1.0","7","0.35714285714285715","7","0.3713906763541037","7","6","0.38461538461538464","7","1.0","7","0.35714285714285715","7"
" ","EXAM-BC"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.375"," ","0.375"
" ","EXAM-WC"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.375"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.375"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.375"," ","0.375","0.375"," ","0.25"," ","0.375"," ","0.375"
" ","EXAM-AVG"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.375"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.375"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.375"," ","0.3125","0.3125"," ","0.25"," ","0.375"," ","0.375"
